,밑위,엉덩이단면,총장,허리단면,허벅지단면,classification,cluster_size
3837,35.0,63.0,107.0,46.0,38.0,2,XL
3838,23.5,43.0,97.0,35.0,27.3,1,XS
3839,24.0,44.25,98.0,36.3,27.8,3,M
3840,24.5,45.5,98.0,37.5,28.5,3,M
3841,25.0,46.75,99.0,38.7,29.1,3,M
3842,25.5,48.0,99.0,40.0,29.7,0,L
3843,26.0,49.25,100.0,41.2,30.4,0,L
3844,26.5,50.5,100.0,42.5,31.0,0,L
3845,27.0,51.75,101.0,43.8,31.6,2,XL
3846,27.5,53.0,101.0,45.0,32.2,2,XL
3847,28.5,55.5,102.0,47.5,33.5,2,XL
3848,29.5,58.0,102.0,50.0,34.8,2,XL
3849,23.5,43.0,97.0,35.0,27.3,1,XS
3850,24.0,44.25,98.0,36.3,27.8,3,M
3851,24.5,45.5,98.0,37.5,28.5,3,M
3852,25.0,46.75,99.0,38.7,29.1,3,M
3853,25.5,48.0,99.0,40.0,29.7,0,L
3854,26.0,49.25,100.0,41.2,30.4,0,L
3855,26.5,50.5,100.0,42.5,31.0,0,L
3856,27.0,51.75,101.0,43.8,31.6,2,XL
3857,27.5,53.0,101.0,45.0,32.2,2,XL
3858,28.5,55.5,102.0,47.5,33.5,2,XL
3859,29.5,58.0,102.0,50.0,34.8,2,XL
3860,23.5,43.0,97.0,35.0,27.3,1,XS
3861,24.0,44.25,98.0,36.3,27.8,3,M
3862,24.5,45.5,98.0,37.5,28.5,3,M
3863,25.0,46.75,99.0,38.7,29.1,3,M
3864,25.5,48.0,99.0,40.0,29.7,0,L
3865,26.0,49.25,100.0,41.2,30.4,0,L
3866,26.5,50.5,100.0,42.5,31.0,0,L
3867,27.0,51.75,101.0,43.8,31.6,2,XL
3868,27.5,53.0,101.0,45.0,32.2,2,XL
3869,28.5,55.5,102.0,47.5,33.5,2,XL
3870,29.5,58.0,102.0,50.0,34.8,2,XL
3871,33.0,54.0,96.0,37.0,35.0,0,L
3872,33.5,56.0,98.0,39.0,36.0,0,L
3873,34.0,58.0,100.0,41.0,37.0,0,L
3874,34.5,60.0,102.0,43.0,38.0,2,XL
3875,26.0,49.0,95.0,28.0,32.0,3,M
3876,26.0,49.0,95.0,28.0,32.0,3,M
3877,26.0,49.0,95.0,28.0,32.0,3,M
3878,37.0,49.5,104.5,34.0,35.0,0,L
3879,38.0,51.5,105.5,36.0,36.0,0,L
3880,39.0,53.5,106.5,38.0,37.0,0,L
3881,25.0,47.0,93.0,33.0,27.0,3,M
3882,26.0,47.0,93.0,35.0,29.0,3,M
3883,27.0,47.0,94.0,37.0,31.0,3,M
3884,27.0,48.0,94.0,40.0,34.0,0,L
3885,30.5,49.5,110.5,34.0,28.5,3,M
3886,31.5,51.5,111.5,36.0,29.5,3,M
3887,32.5,53.5,112.5,38.0,30.5,0,L
3888,37.0,49.5,104.5,34.0,35.0,0,L
3889,38.0,51.5,105.5,36.0,36.0,0,L
3890,39.0,53.5,106.5,38.0,37.0,0,L
3891,31.5,45.5,105.5,33.0,24.5,1,XS
3892,32.5,47.0,106.5,35.0,26.5,3,M
3893,34.0,48.5,107.5,38.5,28.0,0,L
3894,28.5,57.0,99.0,66.0,30.0,2,XL
3895,29.0,60.0,100.0,71.0,32.0,2,XL
3896,29.5,62.0,101.0,75.0,34.0,2,XL
3897,30.0,65.0,102.0,81.0,36.0,2,XL
3898,32.0,55.0,106.5,37.5,40.5,0,L
3899,34.5,57.0,108.0,40.5,41.5,0,L
3900,33.0,49.0,106.0,36.0,31.0,3,M
3901,34.0,51.0,107.0,37.5,32.0,0,L
3902,35.0,53.0,109.0,40.0,34.0,0,L
3903,36.0,54.0,113.0,42.0,35.0,0,L
3904,37.0,59.0,116.0,45.0,37.0,2,XL
3905,30.0,44.5,105.5,33.65,29.5,1,XS
3906,30.7,46.4,106.5,35.55,30.15,3,M
3907,27.0,47.5,98.0,32.5,29.5,3,M
3908,28.0,49.0,99.0,34.0,30.5,3,M
3909,29.0,50.5,100.0,35.5,31.5,0,L
3910,33.0,47.0,98.5,31.5,31.0,3,M
3911,34.0,49.0,99.5,33.5,32.0,0,L
3912,35.0,51.0,100.5,35.5,33.0,0,L
3913,29.5,50.0,107.0,40.0,30.5,0,L
3914,30.5,52.0,108.0,42.0,31.5,0,L
3915,31.5,54.0,109.0,44.0,32.5,2,XL
3916,32.5,56.0,110.0,46.0,33.5,2,XL
3917,26.0,43.0,103.0,33.0,29.0,1,XS
3918,27.0,44.0,104.0,34.0,30.0,1,XS
3919,26.0,43.0,103.0,33.0,29.0,1,XS
3920,27.0,44.0,104.0,34.0,30.0,1,XS
3921,31.0,48.0,109.0,34.0,29.0,3,M
3922,32.0,50.0,110.0,36.0,31.0,0,L
3923,33.0,52.0,111.0,38.0,33.0,0,L
3924,29.5,46.5,104.5,34.0,27.5,3,M
3925,30.5,48.5,105.5,36.0,28.5,3,M
3926,31.5,50.5,106.5,38.0,29.5,0,L
3927,28.0,42.5,102.0,29.0,27.0,1,XS
3928,28.0,42.5,102.0,29.0,27.0,1,XS
3929,28.0,39.5,104.0,30.5,23.0,1,XS
3930,29.0,41.5,105.0,32.5,24.0,1,XS
3931,30.0,43.5,106.0,34.5,25.0,1,XS
3932,26.5,42.0,99.5,35.0,23.5,1,XS
3933,27.5,44.0,100.5,37.0,24.5,1,XS
3934,28.5,46.0,101.5,39.0,25.5,3,M
3935,29.5,46.5,104.5,34.0,27.5,3,M
3936,30.5,48.5,105.5,36.0,28.5,3,M
3937,31.5,50.5,106.5,38.0,29.5,0,L
3938,34.0,44.5,104.5,32.5,29.5,3,M
3939,32.0,55.0,96.0,30.0,28.0,3,M
3940,32.0,55.0,96.0,30.0,28.0,3,M
3941,32.0,55.0,96.0,30.0,28.0,3,M
3942,32.0,55.0,96.0,30.0,28.0,3,M
3943,36.0,54.0,105.0,40.0,35.5,0,L
3944,36.8,56.0,109.0,42.0,36.5,0,L
3945,30.0,57.0,101.0,40.5,35.0,0,L
3946,31.0,59.0,102.0,42.5,36.0,0,L
3947,32.0,61.0,103.0,44.5,37.0,2,XL
3948,33.0,63.0,104.0,46.5,38.0,2,XL
3949,39.5,42.0,115.0,32.0,25.5,1,XS
3950,39.5,42.0,115.0,32.0,25.5,1,XS
3951,32.0,55.0,96.0,30.0,28.0,3,M
3952,33.5,52.0,103.0,36.5,32.0,0,L
3953,34.0,54.0,104.0,38.5,33.0,0,L
3954,34.5,56.0,105.0,40.5,34.0,0,L
3955,35.0,58.0,106.0,42.5,35.0,0,L
3956,29.4,56.0,104.0,37.5,30.5,0,L
3957,30.2,58.5,105.0,39.0,31.8,0,L
3958,31.0,61.0,106.0,41.5,33.0,0,L
3959,31.8,63.5,107.0,44.0,34.3,2,XL
3960,28.0,48.5,100.0,32.0,30.5,3,M
3961,29.0,50.0,101.0,33.5,31.5,0,L
3962,30.0,51.5,102.0,35.0,32.5,0,L
3963,32.0,48.0,101.0,29.0,30.0,3,M
3964,33.0,50.0,103.0,31.0,32.0,0,L
3965,34.0,52.0,105.0,32.0,33.5,0,L
3966,31.0,62.0,104.0,36.0,33.0,0,L
3967,33.0,65.0,107.0,39.0,37.0,0,L
3968,27.0,45.0,101.0,35.0,27.3,3,M
3969,27.0,45.75,101.0,36.25,27.9,3,M
3970,27.5,47.0,102.0,37.5,28.5,3,M
3971,27.5,48.25,102.0,38.75,29.1,0,L
3972,28.0,49.5,103.0,40.0,29.8,0,L
3973,28.0,50.75,103.0,41.25,30.4,0,L
3974,28.5,52.0,103.0,42.5,31.0,0,L
3975,29.0,53.25,103.0,43.75,31.6,2,XL
3976,29.5,54.5,104.0,45.0,32.25,2,XL
3977,30.5,57.0,104.0,47.5,33.5,2,XL
3978,31.5,59.5,105.0,50.0,34.75,2,XL
3979,32.5,62.0,105.0,52.5,36.0,2,XL
3980,33.5,64.5,106.0,55.0,37.25,2,XL
3981,33.0,56.0,102.0,32.5,35.0,0,L
3982,34.5,59.0,105.0,35.5,37.0,0,L
3983,36.0,62.0,108.0,38.5,39.0,0,L
3984,27.5,43.2,93.5,32.7,27.7,1,XS
3985,28.0,44.5,95.0,34.0,28.5,1,XS
3986,28.7,46.5,96.5,36.0,30.0,3,M
3987,29.4,48.5,98.0,38.0,31.5,0,L
3988,31.0,52.5,103.5,40.0,32.3,0,L
3989,32.0,55.0,105.5,42.5,33.8,0,L
3990,36.0,54.0,105.0,40.0,35.5,0,L
3991,36.8,56.0,109.0,42.0,36.5,0,L
3992,31.0,62.0,104.0,36.0,33.0,0,L
3993,33.0,65.0,107.0,39.0,37.0,0,L
3994,32.0,56.5,105.0,35.0,35.5,0,L
3995,33.0,58.5,106.5,37.0,36.5,0,L
3996,34.0,60.5,108.0,39.0,37.5,0,L
3997,31.0,62.0,104.0,36.0,33.0,0,L
3998,33.0,65.0,107.0,39.0,37.0,0,L
3999,31.0,62.0,104.0,36.0,33.0,0,L
4000,33.0,65.0,107.0,39.0,37.0,0,L
4001,26.0,53.0,108.0,40.0,28.0,0,L
4002,27.0,56.0,109.0,41.0,31.0,0,L
4003,29.0,58.0,109.0,44.0,32.0,2,XL
4004,33.4,59.0,106.0,37.5,38.0,0,L
4005,34.0,61.0,107.0,39.5,39.0,0,L
4006,34.6,63.0,108.0,41.5,40.0,0,L
4007,23.8,47.5,126.6,38.5,29.6,0,L
4008,24.4,49.5,127.8,40.5,30.8,0,L
4009,25.0,51.5,129.0,42.5,32.0,0,L
4010,25.3,52.5,129.6,43.5,32.6,2,XL
4011,25.6,53.5,130.2,44.5,33.2,2,XL
4012,26.2,55.5,131.4,46.5,34.4,2,XL
4013,26.8,57.5,132.6,48.5,35.6,2,XL
4014,27.7,60.5,134.4,51.5,37.4,2,XL
4015,28.6,63.5,136.2,54.5,39.2,2,XL
4016,33.9,52.0,106.0,38.0,34.0,0,L
4017,34.6,54.0,108.0,40.0,35.0,0,L
4018,35.3,56.0,110.0,42.0,36.0,0,L
4019,36.0,58.0,112.0,44.0,37.0,2,XL
4020,23.8,48.0,127.4,38.0,29.6,0,L
4021,24.4,50.0,128.2,41.0,30.8,0,L
4022,25.0,52.0,129.0,43.0,32.0,0,L
4023,25.3,53.0,129.4,44.0,32.6,2,XL
4024,25.6,54.0,129.8,45.0,33.2,2,XL
4025,26.2,56.0,130.6,47.0,34.4,2,XL
4026,26.8,58.0,131.4,49.0,35.6,2,XL
4027,27.7,61.0,132.6,52.0,37.4,2,XL
4028,28.6,64.0,133.8,55.0,39.2,2,XL
4029,31.0,62.0,104.0,36.0,33.0,0,L
4030,33.0,65.0,107.0,39.0,37.0,0,L
4031,25.0,62.0,95.0,36.0,31.0,0,L
4032,27.0,65.0,101.0,39.0,33.0,0,L
4033,29.5,48.0,105.0,32.0,30.0,3,M
4034,30.5,49.5,106.0,33.5,31.0,0,L
4035,31.5,51.0,107.0,35.0,32.0,0,L
4036,27.0,48.0,103.0,35.0,30.8,3,M
4037,27.0,49.25,103.0,36.3,31.4,0,L
4038,27.5,50.5,104.0,37.5,32.0,0,L
4039,27.5,51.75,104.0,38.8,32.6,0,L
4040,28.0,53.0,105.0,40.0,33.3,0,L
4041,28.0,54.25,105.0,41.3,33.9,0,L
4042,28.5,55.5,105.0,42.5,34.5,0,L
4043,29.0,56.75,105.0,43.8,35.1,2,XL
4044,29.5,58.0,106.0,45.0,35.8,2,XL
4045,30.5,60.5,106.0,47.5,37.0,2,XL
4046,31.5,63.0,107.0,50.0,38.3,2,XL
4047,32.5,65.5,107.0,52.5,39.5,2,XL
4048,33.5,68.0,108.0,55.0,40.8,2,XL
4049,30.0,53.0,99.5,33.5,33.0,0,L
4050,31.0,55.0,101.0,36.0,34.0,0,L
4051,32.0,57.0,102.5,38.5,35.0,0,L
4052,33.0,59.0,104.0,41.0,36.0,0,L
4053,34.0,61.0,105.5,43.5,37.0,2,XL
4054,35.0,63.0,107.0,46.0,38.0,2,XL
4055,23.5,43.0,97.0,35.0,27.3,1,XS
4056,24.0,44.25,98.0,36.3,27.8,3,M
4057,24.5,45.5,98.0,37.5,28.5,3,M
