,height,hem,hip,outer_leg,waist,thigh
2362,152.0,31.4,49.5,46.5,43.4,29.5
2363,158.2,29.0,44.9,49.95,39.35,25.3
2364,164.2,33.7,49.3,50.7,43.1,28.8
2367,158.2,28.5,44.8,47.95,33.95,25.55
2368,151.4,30.0,47.15,44.95,42.5,27.6
2370,174.0,37.5,54.3,53.1,39.4,30.3
2371,162.1,32.5,44.9,49.9,32.4,27.0
2372,152.8,30.25,45.65,46.55,37.2,26.9
2373,155.3,29.0,43.4,48.65,33.45,24.7
2374,164.3,33.2,48.75,51.7,36.45,30.2
2375,155.1,32.8,46.0,47.0,39.2,26.6
2376,152.7,30.8,45.0,48.6,49.05,26.45
2377,159.1,31.4,43.65,49.45,34.75,24.75
2378,158.6,30.75,43.5,47.7,35.1,25.65
2379,162.1,29.65,40.3,50.25,30.7,23.9
2380,151.2,34.5,47.65,45.4,40.2,26.55
2381,163.1,36.0,51.55,49.55,45.6,32.3
2382,161.4,33.55,49.45,49.85,44.4,28.9
2383,153.5,34.2,44.65,46.9,48.6,25.2
2384,153.2,31.25,46.5,48.2,35.45,26.9
2385,165.4,32.2,48.8,50.35,37.2,29.35
2386,149.8,33.85,48.7,45.0,40.55,29.1
2387,152.8,33.75,51.9,45.75,50.1,30.75
2388,156.4,30.4,48.6,47.35,37.8,29.45
2389,156.2,31.85,46.3,47.95,37.0,26.4
2390,158.6,32.1,48.2,48.0,42.35,27.2
2391,160.0,33.2,48.2,49.5,38.05,27.55
2392,160.1,36.75,48.0,49.15,36.9,27.3
2393,168.6,34.1,47.7,51.7,38.55,28.8
2394,153.1,31.75,48.55,47.65,46.55,29.0
2395,157.8,32.0,44.65,47.0,33.75,25.5
2396,160.7,34.0,50.0,50.15,42.75,29.0
2397,151.4,32.5,41.4,46.05,36.2,22.05
2398,155.7,30.65,43.45,46.5,43.8,24.4
2399,161.4,31.9,46.3,49.1,42.35,27.2
2400,168.8,36.75,51.5,52.4,44.4,28.4
2401,146.7,31.15,47.9,44.35,36.15,27.0
2402,170.5,31.75,45.2,53.3,36.3,25.95
2403,154.4,33.2,47.85,47.4,42.65,24.7
2405,149.4,33.15,51.8,46.7,47.7,28.3
2407,164.7,34.4,48.0,50.2,41.9,27.2
2409,161.1,33.85,48.15,49.0,37.55,26.45
2410,157.2,31.65,45.15,47.65,41.55,25.5
2411,157.3,34.65,51.5,48.15,38.15,30.25
2412,157.6,31.75,46.3,49.6,36.75,28.35
2413,153.6,30.25,43.25,47.6,36.0,25.1
2415,150.7,32.0,45.75,45.2,47.25,26.45
2416,159.2,32.25,47.55,48.85,40.0,26.95
2417,155.2,34.9,51.0,47.55,45.95,29.75
2418,158.3,33.6,45.95,48.1,36.05,27.35
2419,161.4,30.6,44.6,49.75,34.4,25.3
2420,159.8,34.5,47.6,48.85,39.4,25.9
2421,158.2,32.5,48.0,47.55,44.4,26.15
2424,156.2,32.25,48.25,47.7,38.0,27.7
2425,157.0,34.5,50.2,47.25,46.75,27.25
2426,153.7,33.2,47.9,46.65,37.75,28.15
2427,159.4,34.6,48.8,48.75,40.6,28.3
2428,159.7,34.5,46.55,49.35,37.55,26.6
2429,162.4,32.5,45.1,50.25,34.85,25.85
2430,149.9,32.0,44.9,44.9,41.9,26.25
2431,157.6,35.75,48.5,47.85,45.1,29.35
2432,165.0,33.5,47.85,50.45,37.9,28.4
2433,161.5,35.25,50.2,49.0,42.25,29.45
2434,154.4,31.9,46.75,47.35,37.0,26.15
2435,160.3,36.0,52.95,49.25,45.1,30.6
2436,156.1,31.0,43.3,49.25,37.95,24.2
2437,147.6,33.5,46.55,46.6,41.2,26.45
2438,163.0,32.5,44.4,51.1,35.05,25.8
2439,166.1,34.65,51.5,51.7,37.6,28.45
2440,158.9,32.9,49.85,46.75,40.2,29.0
2441,168.9,33.65,47.45,51.45,42.6,26.6
2442,166.3,30.75,46.2,51.95,37.1,26.1
2443,160.5,32.65,47.3,49.0,39.75,27.4
2444,160.9,31.1,45.5,51.2,38.65,25.65
2445,166.0,31.8,45.45,51.8,35.45,25.0
2446,154.9,33.5,48.55,47.5,45.35,27.2
2447,152.1,32.75,46.65,45.85,46.35,25.7
2448,156.5,34.4,48.8,46.8,37.0,29.25
2450,168.1,36.9,52.95,51.85,44.1,29.45
2451,163.9,32.9,47.8,50.3,41.85,26.3
2452,159.4,34.2,48.85,49.15,40.95,28.25
2453,151.6,33.45,48.2,45.6,43.8,28.75
